user_id,signup_date,campaign_source,device_type,country,ab_group
U00086,2025-06-05,Google Ads,tablet,India,A
U00087,2025-06-12,Google Ads,desktop,Germany,A
U00088,2025-02-13,Google Ads,tablet,Germany,A
U00089,2025-05-17,Organic,desktop,India,B
U00090,2025-03-04,Referral,desktop,India,A
U00091,2025-02-11,Referral,tablet,USA,A
U00092,2025-04-29,Google Ads,desktop,Germany,A
U00093,2025-04-08,Referral,desktop,Germany,B
U00094,2025-03-11,Referral,mobile,Canada,B
U00095,2025-06-13,Google Ads,desktop,USA,B
U00096,2025-06-26,Referral,desktop,India,A
U00097,2025-05-23,Email,tablet,India,A
U00098,2025-02-26,Meta,tablet,UK,B
U00099,2025-06-25,Meta,desktop,India,B
U00100,2025-03-25,Google Ads,mobile,Germany,A
U00101,2025-01-15,Organic,mobile,India,B
U00102,2025-02-28,Google Ads,tablet,Germany,A
U00103,2025-01-09,Organic,desktop,Germany,B
U00104,2025-03-22,Meta,desktop,USA,A
U00105,2025-04-13,Google Ads,mobile,India,A
U00106,2025-03-10,Email,mobile,USA,A
U00107,2025-01-17,Referral,mobile,Germany,B
U00108,2025-02-24,Organic,tablet,India,B
U00109,2025-05-26,Referral,desktop,India,A
U00110,2025-03-22,Referral,tablet,USA,B
U00111,2025-02-24,Google Ads,desktop,USA,A
U00112,2025-06-17,Referral,tablet,Germany,B
U00113,2025-05-08,Email,desktop,Germany,B
U00114,2025-04-12,Referral,mobile,India,A
U00115,2025-06-14,Google Ads,mobile,India,B
U00116,2025-04-28,Email,mobile,Canada,B
U00117,2025-02-06,Meta,tablet,Canada,A
U00118,2025-03-09,Referral,mobile,UK,A
U00119,2025-02-05,Google Ads,desktop,Germany,A
U00120,2025-03-05,Meta,tablet,UK,A
U00121,2025-05-24,Meta,desktop,UK,B
U00122,2025-05-18,Organic,tablet,USA,B
U00123,2025-03-09,Email,desktop,USA,A
U00124,2025-05-30,Referral,desktop,Canada,B
U00125,2025-04-20,Google Ads,tablet,UK,A
U00126,2025-05-30,Organic,tablet,Canada,A
U00127,2025-04-13,Email,mobile,Germany,A
U00128,2025-04-03,Organic,mobile,India,B
U00129,2025-02-26,Email,desktop,USA,B
U00130,2025-02-05,Email,desktop,Germany,B
U00131,2025-05-11,Referral,desktop,Germany,A
U00132,2025-05-07,Email,tablet,USA,A
U00133,2025-01-24,Organic,tablet,USA,B
U00134,2025-01-13,Email,mobile,UK,B
U00135,2025-01-29,Referral,desktop,Canada,B
U00136,2025-02-09,Referral,mobile,Germany,B
U00137,2025-06-10,Organic,tablet,UK,A
U00138,2025-02-10,Meta,tablet,UK,B
U00139,2025-06-24,Meta,tablet,Germany,B
U00140,2025-04-19,Email,mobile,Germany,A
U00141,2025-06-02,Google Ads,tablet,India,B
U00142,2025-01-17,Email,desktop,Canada,B
U00143,2025-04-09,Organic,mobile,Germany,B
U00144,2025-04-08,Organic,tablet,USA,A
U00145,2025-06-02,Organic,mobile,India,A
U00146,2025-04-30,Organic,mobile,Canada,B
U00147,2025-05-16,Organic,tablet,USA,A
U00148,2025-03-06,Referral,tablet,USA,B
U00149,2025-05-22,Meta,mobile,Canada,B
U00150,2025-01-03,Organic,mobile,India,A
U00151,2025-06-24,Google Ads,tablet,USA,B
U00152,2025-01-30,Google Ads,desktop,UK,A
U00153,2025-06-24,Google Ads,mobile,Canada,A
U00154,2025-05-18,Google Ads,mobile,Canada,A
U00155,2025-03-10,Referral,desktop,Germany,B
U00156,2025-06-14,Google Ads,tablet,India,B
U00157,2025-03-29,Organic,tablet,UK,B
U00158,2025-01-29,Email,desktop,UK,B
U00159,2025-03-17,Google Ads,tablet,Germany,A
U00160,2025-04-22,Referral,tablet,USA,B
U00161,2025-02-10,Referral,mobile,USA,B
U00162,2025-04-27,Google Ads,mobile,UK,A
U00163,2025-01-01,Email,mobile,India,A
U00164,2025-03-09,Google Ads,desktop,USA,B
U00165,2025-05-09,Referral,tablet,Canada,A
U00166,2025-02-15,Meta,tablet,Germany,B
U00167,2025-05-10,Organic,mobile,India,B
U00168,2025-01-28,Referral,mobile,USA,A
U00169,2025-06-10,Google Ads,desktop,UK,A
U00170,2025-03-18,Organic,tablet,Germany,B
U00171,2025-06-13,Google Ads,desktop,USA,B
U00172,2025-05-10,Google Ads,tablet,UK,B
U00173,2025-06-05,Meta,desktop,USA,B
U00174,2025-02-20,Organic,mobile,Germany,B
U00175,2025-02-09,Organic,desktop,Canada,A
U00176,2025-04-06,Meta,desktop,Canada,B
U00177,2025-02-11,Referral,mobile,UK,A
U00178,2025-05-19,Google Ads,tablet,Canada,A
U00179,2025-05-16,Email,tablet,Germany,A
U00180,2025-01-01,Google Ads,mobile,UK,B
U00181,2025-06-03,Google Ads,desktop,USA,B
U00182,2025-03-24,Referral,desktop,India,A
U00183,2025-05-06,Google Ads,desktop,USA,A
U00184,2025-01-05,Meta,tablet,Germany,A
U00185,2025-01-29,Meta,desktop,UK,A
U00186,2025-04-03,Organic,tablet,USA,A
U00187,2025-03-20,Email,desktop,UK,B
U00188,2025-03-03,Google Ads,mobile,Canada,A
U00189,2025-01-15,Google Ads,mobile,India,B
U00190,2025-03-03,Referral,tablet,Germany,A
U00191,2025-05-26,Meta,tablet,USA,A
U00192,2025-01-21,Email,mobile,India,B
U00193,2025-01-22,Organic,mobile,Germany,B
U00194,2025-05-05,Meta,desktop,Germany,A
U00195,2025-01-18,Organic,mobile,Canada,B
U00196,2025-05-17,Referral,tablet,UK,B
U00197,2025-02-02,Referral,mobile,UK,A
U00198,2025-02-02,Google Ads,tablet,India,A
U00199,2025-06-18,Email,tablet,Canada,A
U00200,2025-05-02,Organic,desktop,Germany,B
U00201,2025-05-21,Meta,desktop,Canada,A
U00202,2025-02-12,Referral,desktop,Canada,A
U00203,2025-03-09,Google Ads,desktop,India,B
U00204,2025-05-16,Google Ads,mobile,UK,A
U00205,2025-06-05,Organic,desktop,Canada,B
U00206,2025-04-19,Referral,mobile,Canada,B
U00207,2025-02-24,Email,desktop,Canada,A
U00208,2025-05-19,Referral,desktop,USA,B
U00209,2025-06-26,Organic,tablet,Canada,B
U00210,2025-02-21,Organic,mobile,Canada,A
U00211,2025-03-21,Referral,tablet,Germany,B
U00212,2025-04-13,Organic,desktop,USA,A
U00213,2025-06-21,Referral,mobile,Canada,A
U00214,2025-06-16,Meta,desktop,Canada,A
U00215,2025-04-06,Referral,tablet,India,A
U00216,2025-04-23,Referral,mobile,India,A
U00217,2025-05-13,Organic,tablet,USA,B
U00218,2025-04-26,Organic,desktop,Germany,B
U00219,2025-01-31,Google Ads,desktop,USA,B
U00220,2025-03-05,Google Ads,desktop,USA,A
U00221,2025-02-27,Meta,mobile,India,A
U00222,2025-01-17,Google Ads,tablet,India,A
U00223,2025-03-28,Referral,tablet,Germany,A
U00224,2025-01-06,Organic,desktop,Canada,B
U00225,2025-05-31,Google Ads,tablet,Germany,B
U00226,2025-05-22,Google Ads,mobile,Canada,A
U00227,2025-02-28,Meta,desktop,UK,A
U00228,2025-05-31,Meta,desktop,India,A
U00229,2025-02-26,Referral,desktop,UK,B
U00230,2025-01-02,Organic,mobile,UK,B
U00231,2025-01-19,Meta,desktop,India,A
U00232,2025-06-11,Google Ads,desktop,UK,A
U00233,2025-01-16,Organic,desktop,USA,B
U00234,2025-02-28,Organic,desktop,Canada,B
U00235,2025-01-18,Google Ads,tablet,Germany,A
U00236,2025-01-09,Meta,desktop,India,A
U00237,2025-03-26,Google Ads,mobile,USA,A
U00238,2025-01-19,Organic,desktop,Germany,B
U00239,2025-05-12,Email,desktop,Germany,A
U00240,2025-03-02,Email,tablet,Germany,B
U00241,2025-03-13,Referral,desktop,UK,A
U00242,2025-06-21,Google Ads,tablet,UK,A
U00243,2025-05-05,Google Ads,mobile,UK,A
U00244,2025-02-24,Referral,tablet,UK,B
U00245,2025-05-19,Referral,desktop,USA,A
U00246,2025-02-03,Referral,mobile,UK,B
U00247,2025-05-27,Organic,desktop,India,A
U00248,2025-05-28,Google Ads,tablet,Germany,B
U00249,2025-05-02,Organic,mobile,USA,A
U00250,2025-03-04,Referral,mobile,UK,B
U00251,2025-05-02,Google Ads,tablet,Germany,A
U00252,2025-04-15,Organic,tablet,USA,B
U00253,2025-02-18,Organic,mobile,Germany,B
U00254,2025-01-25,Referral,mobile,USA,A
U00255,2025-01-25,Google Ads,tablet,Canada,B
U00256,2025-06-18,Referral,desktop,USA,B
U00257,2025-04-21,Google Ads,mobile,UK,A
U00258,2025-04-01,Email,tablet,Germany,B
U00259,2025-04-19,Meta,desktop,Germany,A
U00260,2025-04-16,Meta,mobile,Germany,A
U00261,2025-04-30,Meta,mobile,India,B
U00262,2025-01-14,Referral,tablet,India,B
U00263,2025-06-22,Email,desktop,UK,B
U00264,2025-06-17,Google Ads,mobile,Canada,B
U00265,2025-06-15,Organic,desktop,India,B
U00266,2025-01-26,Google Ads,desktop,USA,A
U00267,2025-01-16,Organic,mobile,UK,A
U00268,2025-04-14,Google Ads,desktop,Canada,B
U00269,2025-03-28,Email,mobile,USA,B
U00270,2025-01-28,Organic,desktop,Germany,B
U00271,2025-03-05,Referral,mobile,India,B
U00272,2025-02-19,Google Ads,tablet,USA,B
U00273,2025-02-18,Google Ads,mobile,Canada,A
U00274,2025-05-18,Organic,mobile,UK,A
U00275,2025-04-25,Referral,mobile,USA,A
U00276,2025-02-05,Referral,desktop,UK,B
U00277,2025-04-19,Email,tablet,Germany,B
U00278,2025-02-16,Referral,desktop,Canada,B
U00279,2025-03-13,Referral,desktop,Canada,A
U00280,2025-04-29,Referral,mobile,India,A
U00281,2025-03-05,Meta,desktop,Canada,A
U00282,2025-01-20,Email,mobile,USA,A
U00283,2025-04-24,Google Ads,tablet,USA,B
U00284,2025-05-21,Organic,desktop,USA,B
U00285,2025-01-26,Google Ads,desktop,Germany,B
U00286,2025-01-13,Email,desktop,Canada,B
U00287,2025-06-16,Organic,mobile,Canada,B
U00288,2025-05-19,Email,mobile,USA,B
U00289,2025-01-04,Referral,desktop,India,A
U00290,2025-01-24,Organic,desktop,India,B
U00291,2025-03-02,Referral,tablet,Canada,B
U00292,2025-02-12,Google Ads,tablet,Canada,B
U00293,2025-04-15,Google Ads,tablet,UK,B
U00294,2025-05-05,Organic,tablet,Canada,B
U00295,2025-05-04,Organic,tablet,USA,B
U00296,2025-02-24,Email,mobile,Germany,B
U00297,2025-04-13,Email,tablet,Canada,B
U00298,2025-01-16,Referral,tablet,Canada,A
U00299,2025-02-12,Organic,desktop,USA,A
U00300,2025-04-08,Google Ads,mobile,UK,A
U00301,2025-01-01,Email,tablet,Canada,B
U00302,2025-04-10,Email,tablet,India,A
U00303,2025-03-09,Google Ads,tablet,India,B
U00304,2025-04-27,Email,desktop,India,A
U00305,2025-03-15,Referral,desktop,Germany,A
U00306,2025-04-19,Organic,desktop,Germany,B
U00307,2025-06-28,Google Ads,tablet,Canada,B
U00308,2025-05-23,Organic,desktop,Canada,B
U00309,2025-06-19,Email,tablet,Canada,B
U00310,2025-05-05,Email,mobile,Germany,A
U00311,2025-02-09,Google Ads,tablet,Canada,A
U00312,2025-02-18,Referral,desktop,USA,B
U00313,2025-03-17,Meta,mobile,UK,A
U00314,2025-02-25,Google Ads,tablet,India,A
U00315,2025-01-15,Meta,mobile,India,A
U00316,2025-05-29,Meta,mobile,USA,B
U00317,2025-05-19,Referral,mobile,Canada,B
U00318,2025-01-16,Meta,tablet,Germany,B
U00319,2025-03-22,Meta,desktop,Canada,A
U00320,2025-01-15,Referral,tablet,Canada,B
U00321,2025-01-13,Meta,desktop,India,B
U00322,2025-05-30,Meta,tablet,India,A
U00323,2025-05-03,Meta,tablet,Germany,B
U00324,2025-05-09,Google Ads,tablet,India,B
U00325,2025-05-16,Google Ads,desktop,Canada,B
U00326,2025-02-10,Google Ads,tablet,USA,A
U00327,2025-01-15,Referral,mobile,Germany,B
U00328,2025-05-11,Email,tablet,USA,A
U00329,2025-01-21,Meta,mobile,Canada,A
U00330,2025-02-17,Meta,desktop,Germany,A
U00331,2025-01-18,Referral,desktop,USA,A
U00332,2025-06-02,Meta,tablet,Germany,A
U00333,2025-01-18,Google Ads,tablet,Canada,A
U00334,2025-06-22,Email,tablet,Germany,B
U00335,2025-03-02,Organic,mobile,Canada,B
U00336,2025-04-14,Meta,desktop,Germany,A
U00337,2025-01-31,Google Ads,mobile,Germany,A
U00338,2025-05-26,Organic,mobile,India,B
U00339,2025-03-05,Email,tablet,Canada,B
U00340,2025-05-29,Organic,tablet,UK,B
U00341,2025-06-02,Google Ads,mobile,Germany,A
U00342,2025-01-11,Organic,mobile,USA,A
U00343,2025-06-08,Referral,tablet,India,B
U00344,2025-01-21,Organic,tablet,India,A
U00345,2025-04-18,Meta,mobile,Germany,A
U00346,2025-06-18,Meta,tablet,UK,A
U00347,2025-05-30,Referral,tablet,India,A
U00348,2025-05-25,Google Ads,mobile,Canada,B
U00349,2025-05-14,Meta,mobile,Germany,A
U00350,2025-03-22,Email,desktop,Germany,A
U00351,2025-03-08,Meta,mobile,UK,A
U00352,2025-02-22,Meta,tablet,Canada,A
U00353,2025-06-21,Google Ads,mobile,Canada,B
U00354,2025-03-22,Organic,mobile,UK,A
U00355,2025-03-03,Meta,mobile,USA,A
U00356,2025-03-09,Referral,desktop,Canada,B
U00357,2025-04-12,Organic,desktop,USA,A
U00358,2025-02-03,Email,tablet,USA,A
U00359,2025-06-21,Google Ads,desktop,Germany,A
U00360,2025-06-15,Email,mobile,Germany,A
U00361,2025-03-18,Organic,desktop,India,B
U00362,2025-04-28,Organic,mobile,Germany,B
U00363,2025-03-22,Organic,desktop,Canada,B
U00364,2025-01-19,Email,desktop,Canada,A
U00365,2025-01-03,Organic,desktop,USA,A
U00366,2025-04-28,Email,mobile,Canada,B
U00367,2025-06-09,Organic,desktop,Germany,B
U00368,2025-05-25,Referral,mobile,Germany,A
U00369,2025-01-26,Organic,mobile,Germany,A
U00370,2025-01-19,Email,tablet,UK,A
U00371,2025-05-18,Meta,desktop,Canada,A
U00372,2025-02-24,Organic,tablet,India,A
U00373,2025-05-10,Meta,tablet,Canada,A
U00374,2025-03-09,Referral,mobile,Canada,A
U00375,2025-02-03,Google Ads,desktop,UK,A
U00376,2025-03-31,Referral,mobile,Canada,A
U00377,2025-01-18,Organic,mobile,USA,A
U00378,2025-03-04,Meta,desktop,Germany,B
U00379,2025-04-05,Meta,mobile,Germany,A
U00380,2025-03-14,Email,desktop,UK,A
U00381,2025-02-10,Meta,desktop,Germany,A
U00382,2025-04-23,Email,mobile,USA,B
U00383,2025-05-20,Google Ads,mobile,UK,A
U00384,2025-06-30,Organic,tablet,India,B
U00385,2025-03-19,Email,mobile,Germany,A
U00386,2025-06-06,Google Ads,desktop,Canada,B
U00387,2025-06-17,Meta,tablet,USA,B
U00388,2025-05-16,Meta,desktop,USA,A
U00389,2025-01-03,Google Ads,tablet,Germany,B
U00390,2025-06-20,Meta,mobile,India,B
U00391,2025-05-22,Google Ads,mobile,Canada,A
U00392,2025-03-18,Email,mobile,India,A
U00393,2025-06-19,Email,desktop,India,A
U00394,2025-01-27,Google Ads,tablet,Germany,A
U00395,2025-02-04,Email,desktop,Canada,A
U00396,2025-03-09,Email,tablet,Germany,A
U00397,2025-01-30,Email,mobile,Germany,B
U00398,2025-01-28,Referral,desktop,USA,B
U00399,2025-05-22,Organic,mobile,Germany,A
U00400,2025-02-09,Meta,desktop,UK,A
U00401,2025-03-11,Referral,mobile,Canada,A
U00402,2025-03-14,Email,desktop,USA,A
U00403,2025-06-04,Google Ads,desktop,Canada,B
U00404,2025-02-23,Email,tablet,USA,B
U00405,2025-03-29,Organic,mobile,UK,A
U00406,2025-02-22,Email,tablet,Germany,B
U00407,2025-06-25,Google Ads,tablet,USA,B
U00408,2025-06-12,Organic,mobile,USA,A
U00409,2025-03-09,Email,desktop,USA,A
U00410,2025-05-10,Organic,tablet,UK,B
U00411,2025-05-06,Meta,mobile,Canada,A
U00412,2025-03-06,Meta,desktop,UK,A
U00413,2025-01-14,Email,tablet,USA,A
U00414,2025-01-24,Organic,tablet,USA,B
U00415,2025-06-12,Google Ads,tablet,Germany,B
U00416,2025-04-19,Email,desktop,UK,B
U00417,2025-03-12,Meta,tablet,UK,B
U00418,2025-01-12,Meta,desktop,India,A
U00419,2025-01-01,Email,tablet,Canada,A
U00420,2025-03-27,Organic,mobile,India,B
U00421,2025-02-03,Meta,tablet,India,B
U00422,2025-06-13,Organic,mobile,Canada,A
U00423,2025-03-09,Meta,mobile,Germany,B
U00424,2025-02-11,Meta,mobile,Germany,B
U00425,2025-04-24,Referral,desktop,Canada,B
U00426,2025-05-22,Meta,mobile,Canada,B
U00427,2025-06-30,Google Ads,tablet,UK,B
U00428,2025-04-20,Email,desktop,UK,B
U00429,2025-05-24,Email,mobile,UK,B
U00430,2025-01-03,Organic,desktop,UK,A
U00431,2025-01-29,Meta,desktop,USA,A
U00432,2025-01-20,Google Ads,desktop,USA,A
U00433,2025-06-26,Organic,tablet,Germany,B
U00434,2025-02-08,Referral,mobile,USA,A
U00435,2025-05-20,Organic,desktop,USA,A
U00436,2025-01-10,Organic,desktop,UK,A
U00437,2025-04-05,Meta,desktop,UK,A
U00438,2025-05-30,Referral,mobile,Canada,B
U00439,2025-05-22,Organic,desktop,UK,A
U00440,2025-02-07,Google Ads,desktop,Canada,A
U00441,2025-04-21,Google Ads,tablet,Canada,A
U00442,2025-02-02,Email,mobile,USA,A
U00443,2025-01-11,Referral,tablet,UK,B
U00444,2025-03-20,Referral,mobile,USA,B
U00445,2025-04-04,Email,mobile,UK,A
U00446,2025-01-11,Organic,mobile,USA,A
U00447,2025-04-02,Referral,tablet,USA,A
U00448,2025-02-23,Google Ads,tablet,USA,A
U00449,2025-06-24,Google Ads,tablet,Germany,B
U00450,2025-03-05,Meta,tablet,USA,B
U00451,2025-06-20,Referral,desktop,India,A
U00452,2025-01-27,Organic,desktop,India,B
U00453,2025-04-01,Email,desktop,India,B
U00454,2025-05-24,Email,mobile,Canada,A
U00455,2025-04-15,Organic,desktop,USA,A
U00456,2025-06-08,Meta,mobile,India,B
U00457,2025-02-09,Email,tablet,Canada,B
U00458,2025-03-02,Referral,mobile,India,B
U00459,2025-02-11,Meta,mobile,UK,A
U00460,2025-02-15,Referral,desktop,Germany,A
U00461,2025-04-16,Google Ads,tablet,USA,A
U00462,2025-01-07,Meta,tablet,Germany,A
U00463,2025-02-15,Email,desktop,Germany,B
U00464,2025-03-27,Meta,tablet,UK,A
U00465,2025-04-16,Meta,tablet,UK,B
U00466,2025-06-21,Meta,tablet,UK,B
U00467,2025-03-05,Meta,desktop,Canada,B
U00468,2025-03-10,Referral,tablet,India,B
U00469,2025-02-10,Google Ads,mobile,USA,A
U00470,2025-06-29,Organic,mobile,UK,B
U00471,2025-01-28,Meta,tablet,USA,B
U00472,2025-04-08,Email,desktop,USA,A
U00473,2025-01-10,Meta,desktop,USA,B
U00474,2025-05-01,Email,desktop,UK,A
U00475,2025-02-26,Referral,tablet,UK,A
U00476,2025-02-21,Email,tablet,India,A
U00477,2025-04-28,Organic,mobile,UK,A
U00478,2025-03-31,Google Ads,desktop,UK,B
U00479,2025-03-20,Email,mobile,USA,A
U00480,2025-02-28,Email,mobile,India,B
U00481,2025-02-27,Google Ads,desktop,Germany,B
U00482,2025-01-07,Organic,tablet,UK,A
U00483,2025-06-18,Meta,tablet,UK,B
U00484,2025-02-19,Email,mobile,Germany,B
U00485,2025-04-13,Google Ads,mobile,USA,B
U00486,2025-03-26,Referral,mobile,India,A
U00487,2025-03-13,Google Ads,mobile,USA,B
U00488,2025-01-18,Referral,desktop,Canada,A
U00489,2025-03-13,Organic,mobile,UK,A
U00490,2025-03-31,Meta,mobile,Canada,A
U00491,2025-06-14,Google Ads,tablet,UK,B
U00492,2025-05-11,Email,tablet,Canada,B
U00493,2025-04-13,Organic,tablet,Germany,B
U00494,2025-06-23,Google Ads,desktop,UK,A
U00495,2025-05-18,Email,desktop,UK,B
U00496,2025-03-26,Google Ads,tablet,Canada,A
U00497,2025-01-08,Referral,tablet,India,A
U00498,2025-01-30,Google Ads,mobile,Canada,B
U00499,2025-03-08,Google Ads,mobile,UK,B
U00500,2025-02-15,Google Ads,desktop,UK,A
U00501,2025-05-29,Organic,desktop,India,A
U00502,2025-03-09,Google Ads,mobile,USA,B
U00503,2025-01-10,Email,tablet,India,B
U00504,2025-01-28,Referral,mobile,USA,B
U00505,2025-06-02,Referral,desktop,UK,A
U00506,2025-04-22,Google Ads,desktop,Germany,B
U00507,2025-03-30,Organic,mobile,Germany,B
U00508,2025-03-22,Organic,mobile,Canada,A
U00509,2025-04-22,Email,mobile,India,A
U00510,2025-06-05,Google Ads,desktop,India,B
U00511,2025-05-11,Referral,tablet,Germany,B
U00512,2025-01-30,Organic,mobile,USA,B
U00513,2025-04-09,Google Ads,desktop,India,A
U00514,2025-05-28,Organic,desktop,USA,B
U00515,2025-02-18,Organic,desktop,USA,A
U00516,2025-03-07,Referral,mobile,USA,B
U00517,2025-01-12,Meta,mobile,USA,A
U00518,2025-04-22,Email,tablet,Canada,B
U00519,2025-01-01,Email,desktop,Canada,B
U00520,2025-05-14,Referral,mobile,Germany,B
U00521,2025-05-18,Organic,desktop,Canada,A
U00522,2025-06-25,Google Ads,desktop,India,A
U00523,2025-06-21,Organic,tablet,Canada,A
U00524,2025-02-20,Referral,mobile,India,A
U00525,2025-04-04,Email,mobile,India,B
U00526,2025-04-21,Organic,desktop,USA,A
U00527,2025-01-18,Email,desktop,Germany,A
U00528,2025-06-20,Google Ads,tablet,USA,B
U00529,2025-03-26,Email,tablet,USA,A
U00530,2025-06-09,Email,tablet,Canada,B
U00531,2025-03-22,Meta,tablet,Canada,A
U00532,2025-06-19,Meta,tablet,India,A
U00533,2025-02-01,Meta,tablet,Canada,B
U00534,2025-03-18,Email,desktop,Canada,B
U00535,2025-05-10,Referral,tablet,UK,B
U00536,2025-03-21,Email,desktop,India,B
U00537,2025-06-20,Referral,desktop,India,A
U00538,2025-04-15,Referral,mobile,UK,A
U00539,2025-03-25,Meta,desktop,India,B
U00540,2025-04-14,Organic,desktop,Germany,B
U00541,2025-06-28,Google Ads,tablet,Germany,A
U00542,2025-03-17,Meta,desktop,UK,B
U00543,2025-05-22,Meta,tablet,Canada,A
U00544,2025-02-02,Organic,tablet,Germany,B
U00545,2025-02-19,Google Ads,tablet,UK,B
U00546,2025-04-18,Email,mobile,Germany,B
U00547,2025-06-20,Email,tablet,USA,B
U00548,2025-04-08,Meta,desktop,UK,A
U00549,2025-06-23,Google Ads,tablet,India,B
U00550,2025-02-14,Meta,tablet,Germany,A
U00551,2025-06-07,Referral,tablet,India,B
U00552,2025-05-26,Meta,mobile,UK,B
U00553,2025-03-19,Meta,desktop,Germany,A
U00554,2025-04-14,Email,mobile,India,B
U00555,2025-05-21,Email,desktop,Canada,A
U00556,2025-01-01,Email,mobile,Canada,B
U00557,2025-03-19,Referral,desktop,USA,A
U00558,2025-03-15,Email,mobile,UK,B
U00559,2025-02-23,Google Ads,tablet,India,B
U00560,2025-04-21,Organic,mobile,USA,B
U00561,2025-05-29,Google Ads,mobile,UK,B
U00562,2025-06-05,Google Ads,tablet,Canada,B
U00563,2025-06-17,Email,tablet,India,A
U00564,2025-03-24,Organic,desktop,Germany,A
U00565,2025-04-30,Organic,desktop,Canada,A
U00566,2025-04-24,Organic,desktop,Germany,B
U00567,2025-04-24,Referral,mobile,Germany,B
U00568,2025-06-22,Email,desktop,India,B
U00569,2025-02-24,Organic,mobile,India,A
U00570,2025-05-11,Referral,mobile,Germany,A
